STATUS	https://gamesdb.launchbox-app.com/	200
STATUS	https://gamesdb.launchbox-app.com/Metadata.zip	200
STATUS	https://images.launchbox-app.com/	404
STATUS	https://gamesdb.launchbox-app.com/games/search?search=pokemon	200
GAME	172065	Bag Monster Ultimate Collector’s Edition	Nintendo Game Boy Advance
GAME	173394	Countryball: Catch 'em All!	Nintendo Game Boy Advance
GAME	474560	Digimon Adventure TCG Remastered	Nintendo Game Boy Color
GAME	173899	Digimon Escape from Server Island	Nintendo Game Boy Advance
GAME	464423	Freezai's Mountain	Nintendo Game Boy Advance
GAME	480759	Game Boy Advance Video: Pokemon: Volume 3	Nintendo Game Boy Advance
GAME	179925	Game Boy Advance Video: Pokémon: Volume 1	Nintendo Game Boy Advance
GAME	204441	Game Boy Advance Video: Pokémon: Volume 2	Nintendo Game Boy Advance
GAME	453494	Game Boy Advance Video: Pokémon: Volume 3	Nintendo Game Boy Advance
GAME	195827	Game Boy Advance Video: Pokémon: Volume 4	Nintendo Game Boy Advance
GAME	424017	Kanto Expansion Pak	Nintendo Game Boy
GAME	454474	Karpe Diem: Pokémon Fishing Contest	Nintendo Game Boy Color
GAME	453502	Pocket Monsters Ao	Nintendo Game Boy
GAME	466036	Pocket Monsters Diamond: Pocket Monsters Pearl: Manaphy Present Campaign Senyou Cartridge	Nintendo Game Boy Advance
GAME	466044	Pocket Monsters Diamond: Tomodachi to Issho ni!: Present Campaign Senyou Cartridge	Nintendo Game Boy Advance
GAME	456746	Pocket Monsters Gin (Spaceworld 1997 Demo)	Nintendo Game Boy
GAME	183081	Pocket Monsters Go! Go!	Nintendo Game Boy Color
GAME	451809	PokeMetroid	Nintendo Game Boy Advance
GAME	478399	Pokemon Crystal Leaf	Nintendo Game Boy Color
GAME	479928	Pokemon Evergreen Version	Nintendo Game Boy Advance
GAME	476027	Pokemon Heart & Soul	Nintendo Game Boy Advance
GAME	454417	Pokettohiro!	Nintendo Game Boy Color
GAME	469011	PokéEscape	Nintendo Game Boy Advance
GAME	173244	Pokémon 2awesome	Nintendo Game Boy Advance
GAME	456888	Pokémon : Evolved	Nintendo Game Boy Advance
GAME	173246	Pokémon A GRAND DAY OUT	Nintendo Game Boy Advance
GAME	173250	Pokémon Abandoned Ruby	Nintendo Game Boy Advance
GAME	173251	Pokémon Adamantite	Nintendo Game Boy Advance
GAME	173252	Pokémon Advanced	Nintendo Game Boy Advance
GAME	128645	Pokémon Advanced Adventure	Nintendo Game Boy Advance
GAME	183082	Pokémon Adventure	Nintendo Game Boy Color
GAME	173278	Pokémon Adventure Blue Chapter	Nintendo Game Boy Advance
GAME	173294	Pokémon Adventure Green Chapter	Nintendo Game Boy Advance
GAME	173279	Pokémon Adventures Gold Chapter	Nintendo Game Boy Advance
GAME	173292	Pokémon Adventures Red Chapter	Nintendo Game Boy Advance
GAME	173290	Pokémon Adventures Yellow Chapter	Nintendo Game Boy Advance
GAME	464465	Pokémon Aesthetic Red	Nintendo Game Boy Advance
GAME	173289	Pokémon Alpha	Nintendo Game Boy Advance
GAME	128739	Pokémon Altair	Nintendo Game Boy Advance
GAME	451430	Pokémon AlteRed	Nintendo Game Boy Advance
GAME	173288	Pokémon Alternate Evolutions	Nintendo Game Boy Advance
GAME	173287	Pokémon Alternate Nusantara	Nintendo Game Boy Advance
GAME	173286	Pokémon Amaryllis	Nintendo Game Boy Advance
GAME	173285	Pokémon Amazing Cortana	Nintendo Game Boy Advance
GAME	173284	Pokémon Amnesia	Nintendo Game Boy Advance
GAME	212677	Pokémon Ancient	Nintendo Game Boy Advance
GAME	451439	Pokémon Anniversary Crystal	Nintendo Game Boy Color
GAME	420610	Pokémon Apocalypse	Nintendo Game Boy Advance
GAME	151813	Pokémon Apollo	Nintendo Game Boy Advance
GAME	173283	Pokémon Aqua Blue	Nintendo Game Boy Advance
GAME	173282	Pokémon Aquamarine	Nintendo Game Boy Advance
GAME	173281	Pokémon Arcoiris	Nintendo Game Boy Advance
GAME	182126	Pokémon Ash Journey	Nintendo Game Boy Advance
GAME	173280	Pokémon Ash's Quest	Nintendo Game Boy Advance
GAME	122179	Pokémon AshGray	Nintendo Game Boy Advance
GAME	423265	Pokémon Atlas Emerald	Nintendo Game Boy Advance
GAME	165260	Pokémon Avventura a Fento	Nintendo Game Boy Advance
GAME	423025	Pokémon Azure Horizons	Nintendo Game Boy Advance
GAME	419728	Pokémon Battle Factory	Nintendo Game Boy
GAME	173314	Pokémon Battle Ultimate	Nintendo Game Boy Advance
GAME	173312	Pokémon Bidoof Version	Nintendo Game Boy Advance
GAME	213413	Pokémon Black	Nintendo Game Boy
GAME	212678	Pokémon Black Dark	Nintendo Game Boy Advance
GAME	423282	Pokémon Black and White 3 Genesis	Nintendo Game Boy Color
GAME	173313	Pokémon Blast Burn	Nintendo Game Boy Advance
GAME	128695	Pokémon Blazed Glazed	Nintendo Game Boy Advance
GAME	182095	Pokémon Blue Before Elite	Nintendo Game Boy
GAME	453706	Pokémon Blue DX	Nintendo Game Boy
GAME	182094	Pokémon Blue Edition: Enhanced	Nintendo Game Boy
GAME	206742	Pokémon Blue Kaizo	Nintendo Game Boy
GAME	212679	Pokémon Blue Stars 2	Nintendo Game Boy Advance
GAME	174212	Pokémon Blue Tears	Nintendo Game Boy
GAME	182093	Pokémon Blue Upgrade	Nintendo Game Boy
GAME	2357	Pokémon Blue Version	Nintendo Game Boy
GAME	200075	Pokémon Blue Version Full Color Hack	Nintendo Game Boy Color
GAME	419731	Pokémon Blue: 151	Nintendo Game Boy
GAME	182092	Pokémon Breeders Edition	Nintendo Game Boy
GAME	215351	Pokémon Bronze 2 Version	Nintendo Game Boy Color
GAME	168028	Pokémon Bronze Version	Nintendo Game Boy Color
GAME	128627	Pokémon Brown Version	Nintendo Game Boy
GAME	173310	Pokémon Brutal Version	Nintendo Game Boy Advance
GAME	173315	Pokémon Bug Version	Nintendo Game Boy Advance
GAME	173316	Pokémon Burning Ruby Advanced	Nintendo Game Boy Advance
GAME	128752	Pokémon CAWPS	Nintendo Game Boy Advance
GAME	107332	Pokémon Card GB2: GR-dan Sanjou!	Nintendo Game Boy Color
GAME	206981	Pokémon Catastrophe	Nintendo Game Boy Advance
GAME	473386	Pokémon Celadon Version	Nintendo Game Boy
GAME	458186	Pokémon Celebrations: Blue Version	Nintendo Game Boy
GAME	458188	Pokémon Celebrations: Green Version	Nintendo Game Boy
GAME	458185	Pokémon Celebrations: Red Version	Nintendo Game Boy
GAME	173317	Pokémon Cerice	Nintendo Game Boy Advance
GAME	190732	Pokémon Chaos 2	Nintendo Game Boy Advance
GAME	128742	Pokémon Chaos Black	Nintendo Game Boy Advance
GAME	202267	Pokémon Chileno Version	Nintendo Game Boy Advance
GAME	128631	Pokémon Christmas	Nintendo Game Boy Color
GAME	173318	Pokémon Chrome	Nintendo Game Boy Advance
GAME	172076	Pokémon Chronicles of Soala	Nintendo Game Boy Advance
GAME	173320	Pokémon Cintrine	Nintendo Game Boy Advance
GAME	204437	Pokémon Classic 151	Nintendo Game Boy Advance
GAME	173321	Pokémon Classified	Nintendo Game Boy Advance
GAME	173386	Pokémon Clay's Calamity II	Nintendo Game Boy Advance
GAME	173371	Pokémon Clays' Calamity	Nintendo Game Boy Advance
GAME	173389	Pokémon Clays' Calamity III	Nintendo Game Boy Advance
GAME	173375	Pokémon Clear Ocean	Nintendo Game Boy Advance
GAME	128744	Pokémon Cloud White	Nintendo Game Boy Advance
GAME	136247	Pokémon Cloud White 2	Nintendo Game Boy Advance
GAME	136224	Pokémon Cloud White 3	Nintendo Game Boy Advance
GAME	140146	Pokémon Clover	Nintendo Game Boy Advance
GAME	451429	Pokémon Coastal Version	Nintendo Game Boy Advance
GAME	173387	Pokémon Cobalt	Nintendo Game Boy Advance
GAME	173390	Pokémon Conversion Emerald	Nintendo Game Boy Advance
GAME	423248	Pokémon Coral Version	Nintendo Game Boy Color
GAME	173391	Pokémon Cosmic Emerald	Nintendo Game Boy Advance
GAME	173417	Pokémon Creepy Black	Nintendo Game Boy Advance
GAME	173418	Pokémon Crimson	Nintendo Game Boy Advance
GAME	463291	Pokémon Crimson Red	Nintendo Game Boy Advance
GAME	173414	Pokémon Crono	Nintendo Game Boy Advance
GAME	470283	Pokémon Crossroads	Nintendo Game Boy Advance
GAME	421018	Pokémon Crown	Nintendo Game Boy Advance
GAME	173440	Pokémon Crush	Nintendo Game Boy Advance
GAME	478391	Pokémon Crystal Awakening	Nintendo Game Boy Color
GAME	155591	Pokémon Crystal Clear	Nintendo Game Boy Color
GAME	478394	Pokémon Crystal Inheritance	Nintendo Game Boy Color
GAME	206608	Pokémon Crystal Kaizo	Nintendo Game Boy Color
GAME	449720	Pokémon Crystal Legacy	Nintendo Game Boy Color
GAME	217738	Pokémon Crystal Maeson	Nintendo Game Boy Color
